date,song,artist,rank,last_week,peak_position,weeks_in_charts,image_url
2000-01-05,Someday,Sugar Ray,31,36,7,28,#
2000-01-05,Hanginaround,Counting Crows,32,33,32,10,#
2000-01-05,4; 5; 6,Sole Featuring JT Money & Kandi,33,28,21,11,https://charts-static.billboard.com/img/1999/09/sole-3xs-106x106.jpg
2000-01-05,Take A Picture,Filter,34,34,34,7,#
2000-01-05,Mambo No. 5 (A Little Bit Of...),Lou Bega,35,32,3,20,#
2000-01-05,Get Gone,Ideal,36,35,13,21,#
2000-01-05,Black Balloon,Goo Goo Dolls,37,41,16,27,#
2000-01-05,Got Your Money,Ol' Dirty Bastard Featuring Kelis,38,38,33,12,#
2000-01-05,Rhythm Divine,Enrique Iglesias,39,42,39,6,#
2000-01-05,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,40,47,40,6,https://charts-static.billboard.com/img/1999/10/ice-cube-ze3-youcandoit-azy-180x180.jpg
2000-01-05,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,41,43,41,5,#
2000-01-05,If You Love Me,Mint Condition,42,40,30,10,#
2000-01-05,Breathe,Faith Hill,43,26,26,10,#
2000-01-05,Say My Name,Destiny's Child,44,56,44,3,https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg
2000-01-05,Amazed,Lonestar,45,45,24,23,#
2000-01-05,Shake Your Bon-Bon,Ricky Martin,46,39,39,8,#
2000-01-05,Satisfy You,Puff Daddy Featuring R. Kelly,47,44,2,16,#
2000-01-05,Got To Get It,Sisqo Featuring Make It Hot,48,51,48,8,#
2000-01-05,This Gift,98 Degrees,49,53,49,2,#
2000-01-05,He Didn't Have To Be,Brad Paisley,50,37,30,12,#
2000-01-05,All The Small Things,blink-182,51,52,51,6,https://charts-static.billboard.com/img/1999/08/blink-182-2pa-allthesmallthings-rny-180x180.jpg
2000-01-05,Cowboy Take Me Away,Dixie Chicks,52,48,48,7,#
2000-01-05,What Do You Say,Reba,53,46,46,11,#
2000-01-05,Caught Out There,Kelis,54,58,54,6,#
2000-01-05,My Best Friend,Tim McGraw,55,50,50,7,#
2000-01-05,When I Said I Do,Clint Black,56,49,31,13,#
2000-01-05,Higher,Creed,57,61,52,18,https://charts-static.billboard.com/img/1999/09/creed-l5w-higher-28w-180x180.jpg
2000-01-05,Will 2K,Will Smith Featuring K-Ci,58,63,25,11,#
2000-01-05,Sexual (Li Da Di),Amber,59,67,59,22,#
2000-01-05,None Of Ur Friends Business,Ginuwine,60,68,60,5,#
2000-01-05,Deck The Halls,SHeDAISY,61,69,61,3,#
2000-01-05,Show Me The Meaning Of Being Lonely,Backstreet Boys,62,74,62,2,#
2000-01-05,Pop A Top,Alan Jackson,63,57,55,9,#
2000-01-05,Angels,Robbie Williams,64,55,55,8,https://charts-static.billboard.com/img/1999/10/robbie-williams-m63-angels-vge-180x180.jpg
2000-01-05,Deep Inside,Mary J. Blige,65,64,64,9,#
2000-01-05,Heartbreaker,Mariah Carey Featuring Jay-Z,66,60,1,19,#
2000-01-05,15 Minutes,Marc Nelson,67,59,27,15,#
2000-01-05,Bling Bling,B.G. Featuring Baby| Turk| Mannie Fresh| Juvenile & Lil' Wayne,68,62,36,17,#
2000-01-05,One Night Stand,J-Shin Featuring LaTocha Scott,69,77,69,3,#
2000-01-05,The Great Beyond,R.E.M.,70,72,70,3,#
2000-01-05,I Love You,Martina McBride,71,66,24,20,#
2000-01-05,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,72,82,72,6,#
2000-01-05,N 2 Gether Now,Limp Bizkit Featuring Method Man,73,78,73,6,#
2000-01-05,No More Rain (In This Cloud),Angie Stone,74,79,74,3,https://charts-static.billboard.com/img/1999/09/angie-stone-zbz-nomoreraininthiscloud-u61-180x180.jpg
2000-01-05,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,75,93,75,2,#
2000-01-05,All Things Considered,Yankee Grey,76,65,55,17,#
2000-01-05,G'd Up,Snoop Dogg Presents Tha Eastsidaz,77,77,1,-,https://charts-static.billboard.com/img/1999/12/tha-eastsidaz-ypt-180x180.jpg
2000-01-05,Guerrilla Radio,Rage Against The Machine,78,83,69,11,#
2000-01-05,The Chemicals Between Us,Bush,79,81,67,15,#
2000-01-05,Smile,Lonestar,80,71,71,4,#
2000-01-05,We Can't Be Friends,Deborah Cox With R.L.,81,75,8,18,#
2000-01-05,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,82,85,82,5,#
2000-01-05,All I Want For Christmas Is You,Mariah Carey,83,83,1,-,https://charts-static.billboard.com/img/1994/12/mariah-carey-3ak-alliwantforchristmasisyou-7ve-180x180.jpg
2000-01-05,There She Goes,Sixpence None The Richer,84,88,32,18,#
2000-01-05,The Greatest Romance Ever Sold,Prince,85,89,63,12,#
2000-01-05,I Wanna Know,Joe,86,94,86,2,#
2000-01-05,Give You What You Want (Fa Sure),Chico DeBarge,87,91,71,12,#
2000-01-05,Bug A Boo,Destiny's Child,88,73,33,16,#
2000-01-05,(You Drive Me) Crazy,Britney Spears,89,76,10,17,https://charts-static.billboard.com/img/1999/09/britney-spears-l78-youdrivemecrazy-1t1-180x180.jpg
2000-01-05,Home To You,John Michael Montgomery,90,80,45,15,#
2000-01-05,Left & Right,D'Angelo Featuring Method Man And Redman,91,70,70,5,#
2000-01-05,The Rockafeller Skank,Fatboy Slim,92,90,77,25,#
2000-01-05,She Thinks My Tractor's Sexy,Kenny Chesney,93,86,74,8,#
2000-01-05,Love Is Blind,Eve Featuring Faith Evans,94,94,1,-,#
2000-01-05,Live; Laugh; Love,Clay Walker,95,84,84,6,#
2000-01-05,Larger Than Life,Backstreet Boys,96,87,25,17,#
2000-01-05,The Best Man I Can Be,Ginuwine| R.L.| Tyrese| Case,97,97,1,-,#
2000-01-05,L.A. Song,Beth Hart,98,96,96,7,#
2000-01-05,Re-arranged,Limp Bizkit,99,95,90,6,#
2000-01-05,The Quittin' Kind,Joe Diffie,100,98,98,2,#
2000-01-12,What A Girl Wants,Christina Aguilera,1,11,1,8,#
2000-01-12,Smooth,Santana Featuring Rob Thomas,2,1,1,25,#
2000-01-12,Back At One,Brian McKnight,3,2,2,21,https://charts-static.billboard.com/img/1999/08/brian-mcknight-uld-backatone-nl9-180x180.jpg
2000-01-12,I Knew I Loved You,Savage Garden,4,6,4,13,#
2000-01-12,I Wanna Love You Forever,Jessica Simpson,5,3,3,14,#
2000-01-12,My Love Is Your Love,Whitney Houston,6,4,4,20,#
2000-01-12,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS| EVE & Q-Tip",7,5,5,8,#
2000-01-12,Auld Lang Syne,Kenny G,8,7,7,4,#
2000-01-12,I Need To Know,Marc Anthony,9,8,3,19,#
2000-01-12,Bring It All To Me,Blaque,10,9,9,13,#
2000-01-12,Blue (Da Ba Dee),Eiffel 65,11,13,11,6,https://charts-static.billboard.com/img/1999/12/eiffel-65-zmu-bluedabadee-dn0-180x180.jpg
2000-01-12,Girl On TV,LFO,12,12,10,9,#
2000-01-12,U Know What's Up,Donell Jones,13,10,7,17,#
2000-01-12,That's The Way It Is,Celine Dion,14,17,14,10,#
2000-01-12,Then The Morning Comes,Smash Mouth,15,16,14,12,https://charts-static.billboard.com/img/1999/10/smash-mouth-0k0-thenthemorningcomes-949-180x180.jpg
2000-01-12,24/7,Kevon Edmonds,16,14,10,11,#
2000-01-12,Waiting For Tonight,Jennifer Lopez,17,19,8,14,https://charts-static.billboard.com/img/1999/09/jennifer-lopez-0nn-waitingfortonight-dra-180x180.jpg
2000-01-12,He Can't Love U,Jagged Edge,18,15,15,6,#
2000-01-12,Get It On Tonite,Montell Jordan,19,20,19,13,#
2000-01-12,Learn To Fly,Foo Fighters,20,26,20,14,https://charts-static.billboard.com/img/1999/10/foo-fighters-a9c-learntofly-cn2-180x180.jpg
2000-01-12,Meet Virginia,Train,21,24,21,15,https://charts-static.billboard.com/img/1999/04/train-z35-106x106.jpg
2000-01-12,Steal My Sunshine,Len,22,27,9,23,https://charts-static.billboard.com/img/1999/05/len-1n7-stealmysunshine-f8d-180x180.jpg
2000-01-12,Amazed,Lonestar,23,45,23,24,#
2000-01-12,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,24,29,19,28,https://charts-static.billboard.com/img/1999/05/juvenile-z23-backthatthangup-ydh-180x180.jpg
2000-01-12,Unpretty,TLC,25,25,1,30,#
2000-01-12,Where My Girls At?,702,26,28,4,38,#
2000-01-12,Someday,Sugar Ray,27,31,7,29,#
2000-01-12,Big Deal,LeAnn Rimes,28,30,23,14,#
2000-01-12,Hanginaround,Counting Crows,29,32,29,11,#
2000-01-12,Breathe,Faith Hill,30,43,26,11,#
2000-01-12,Take A Picture,Filter,31,34,31,8,#
2000-01-12,Mambo No. 5 (A Little Bit Of...),Lou Bega,32,35,3,21,#
2000-01-12,Rhythm Divine,Enrique Iglesias,33,39,33,7,#
2000-01-12,Black Balloon,Goo Goo Dolls,34,37,16,28,#
2000-01-12,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,35,40,35,7,https://charts-static.billboard.com/img/1999/10/ice-cube-ze3-youcandoit-azy-180x180.jpg
2000-01-12,Dancin',Guy,36,22,19,5,#
2000-01-12,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,37,41,37,6,#
2000-01-12,Say My Name,Destiny's Child,38,44,38,4,https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg
2000-01-12,Cowboy Take Me Away,Dixie Chicks,39,52,39,8,#
2000-01-12,Got Your Money,Ol' Dirty Bastard Featuring Kelis,40,38,33,13,#
2000-01-12,Stay The Night,IMx,41,23,23,15,#
2000-01-12,He Didn't Have To Be,Brad Paisley,42,50,30,13,#
2000-01-12,What Do You Say,Reba,43,53,43,12,#
2000-01-12,Get Gone,Ideal,44,36,13,22,#
2000-01-12,If You Love Me,Mint Condition,45,42,30,11,#
2000-01-12,My Best Friend,Tim McGraw,46,55,46,8,#
2000-01-12,Shake Your Bon-Bon,Ricky Martin,47,46,39,9,#
2000-01-12,4; 5; 6,Sole Featuring JT Money & Kandi,48,33,21,12,https://charts-static.billboard.com/img/1999/09/sole-3xs-106x106.jpg
2000-01-12,Got To Get It,Sisqo Featuring Make It Hot,49,48,48,9,#
2000-01-12,All The Small Things,blink-182,50,51,50,7,https://charts-static.billboard.com/img/1999/08/blink-182-2pa-allthesmallthings-rny-180x180.jpg
2000-01-12,Satisfy You,Puff Daddy Featuring R. Kelly,51,47,2,17,#
2000-01-12,Pop A Top,Alan Jackson,52,63,52,10,#
2000-01-12,When I Said I Do,Clint Black,53,56,31,14,#
2000-01-12,Angels,Robbie Williams,54,64,54,9,https://charts-static.billboard.com/img/1999/10/robbie-williams-m63-angels-vge-180x180.jpg
2000-01-12,Show Me The Meaning Of Being Lonely,Backstreet Boys,55,62,55,3,#
2000-01-12,Caught Out There,Kelis,56,54,54,7,#
2000-01-12,Will 2K,Will Smith Featuring K-Ci,57,58,25,12,#
2000-01-12,Sexual (Li Da Di),Amber,58,59,58,23,#
2000-01-12,Bling Bling,B.G. Featuring Baby| Turk| Mannie Fresh| Juvenile & Lil' Wayne,59,68,36,18,#
2000-01-12,Higher,Creed,60,57,52,19,https://charts-static.billboard.com/img/1999/09/creed-l5w-higher-28w-180x180.jpg
2000-01-12,Heartbreaker,Mariah Carey Featuring Jay-Z,61,66,1,20,#
2000-01-12,The Great Beyond,R.E.M.,62,70,62,4,#
2000-01-12,None Of Ur Friends Business,Ginuwine,63,60,60,6,#
2000-01-12,Don't Say You Love Me,M2M,64,21,21,9,#
2000-01-12,Smile,Lonestar,65,80,65,5,#
2000-01-12,No More Rain (In This Cloud),Angie Stone,66,74,66,4,https://charts-static.billboard.com/img/1999/09/angie-stone-zbz-nomoreraininthiscloud-u61-180x180.jpg
2000-01-12,Deep Inside,Mary J. Blige,67,65,64,10,#
2000-01-12,All Things Considered,Yankee Grey,68,76,55,18,#
2000-01-12,I Wanna Know,Joe,69,86,69,3,#
2000-01-12,Falls Apart,Sugar Ray,70,70,1,-,#
2000-01-12,Home To You,John Michael Montgomery,71,90,45,16,#
2000-01-12,There She Goes,Sixpence None The Richer,72,84,32,19,#
2000-01-12,(You Drive Me) Crazy,Britney Spears,73,89,10,18,https://charts-static.billboard.com/img/1999/09/britney-spears-l78-youdrivemecrazy-1t1-180x180.jpg
2000-01-12,One Night Stand,J-Shin Featuring LaTocha Scott,74,69,69,4,#
2000-01-12,The Chemicals Between Us,Bush,75,79,67,16,#
2000-01-12,The Rockafeller Skank,Fatboy Slim,76,92,76,26,#
2000-01-12,G'd Up,Snoop Dogg Presents Tha Eastsidaz,77,77,77,2,https://charts-static.billboard.com/img/1999/12/tha-eastsidaz-ypt-180x180.jpg
2000-01-12,15 Minutes,Marc Nelson,78,67,27,16,#
2000-01-12,This Gift,98 Degrees,79,49,49,3,#
2000-01-12,We Can't Be Friends,Deborah Cox With R.L.,80,81,8,19,#
2000-01-12,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,81,72,72,7,#
2000-01-12,Live; Laugh; Love,Clay Walker,82,95,82,7,#
2000-01-12,Guerrilla Radio,Rage Against The Machine,83,78,69,12,#
2000-01-12,N 2 Gether Now,Limp Bizkit Featuring Method Man,84,73,73,7,#
2000-01-12,She Thinks My Tractor's Sexy,Kenny Chesney,85,93,74,9,#
2000-01-12,Bug A Boo,Destiny's Child,86,88,33,17,#
2000-01-12,Larger Than Life,Backstreet Boys,87,96,25,18,#
2000-01-12,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,88,82,82,6,#
2000-01-12,Back At One,Mark Wills,89,89,1,-,#
2000-01-12,L.A. Song,Beth Hart,90,98,90,8,#
2000-01-12,Love Is Blind,Eve Featuring Faith Evans,91,94,91,2,#
2000-01-12,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,92,75,75,3,#
2000-01-12,Music Of My Heart,*NSYNC & Gloria Estefan,93,2,19,-,#
2000-01-12,Give You What You Want (Fa Sure),Chico DeBarge,94,87,71,13,#
2000-01-12,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,95,95,1,-,#
2000-01-12,Re-arranged,Limp Bizkit,96,99,90,7,#
2000-01-12,The Best Man I Can Be,Ginuwine| R.L.| Tyrese| Case,97,97,97,2,#
2000-01-12,What's My Name,DMX,98,98,1,-,https://charts-static.billboard.com/img/1999/12/dmx-kb0-whatsmyname-g57-180x180.jpg
2000-01-12,The Greatest Romance Ever Sold,Prince,99,85,63,13,#
2000-01-12,The Quittin' Kind,Joe Diffie,100,100,98,3,#
2000-01-19,What A Girl Wants,Christina Aguilera,1,1,1,9,#
2000-01-19,I Knew I Loved You,Savage Garden,2,4,2,14,#
2000-01-19,Smooth,Santana Featuring Rob Thomas,3,2,1,26,#
2000-01-19,Back At One,Brian McKnight,4,3,2,22,https://charts-static.billboard.com/img/1999/08/brian-mcknight-uld-backatone-nl9-180x180.jpg
2000-01-19,Bring It All To Me,Blaque,5,10,5,14,#
2000-01-19,I Need To Know,Marc Anthony,6,9,3,20,#
2000-01-19,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS| EVE & Q-Tip",7,7,5,9,#
2000-01-19,I Wanna Love You Forever,Jessica Simpson,8,5,3,15,#
2000-01-19,Blue (Da Ba Dee),Eiffel 65,9,11,9,7,https://charts-static.billboard.com/img/1999/12/eiffel-65-zmu-bluedabadee-dn0-180x180.jpg
2000-01-19,My Love Is Your Love,Whitney Houston,10,6,4,21,#
2000-01-19,That's The Way It Is,Celine Dion,11,14,11,11,#
2000-01-19,Then The Morning Comes,Smash Mouth,12,15,12,13,https://charts-static.billboard.com/img/1999/10/smash-mouth-0k0-thenthemorningcomes-949-180x180.jpg
2000-01-19,U Know What's Up,Donell Jones,13,13,7,18,#
2000-01-19,Waiting For Tonight,Jennifer Lopez,14,17,8,15,https://charts-static.billboard.com/img/1999/09/jennifer-lopez-0nn-waitingfortonight-dra-180x180.jpg
2000-01-19,Get It On Tonite,Montell Jordan,15,19,15,14,#
2000-01-19,Say My Name,Destiny's Child,16,38,16,5,https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg
2000-01-19,Amazed,Lonestar,17,23,17,25,#
2000-01-19,He Can't Love U,Jagged Edge,18,18,15,7,#
2000-01-19,Learn To Fly,Foo Fighters,19,20,19,15,https://charts-static.billboard.com/img/1999/10/foo-fighters-a9c-learntofly-cn2-180x180.jpg
2000-01-19,Meet Virginia,Train,20,21,20,16,https://charts-static.billboard.com/img/1999/04/train-z35-106x106.jpg
2000-01-19,Take A Picture,Filter,21,31,21,9,#
2000-01-19,Girl On TV,LFO,22,12,10,10,#
2000-01-19,Breathe,Faith Hill,23,30,23,12,#
2000-01-19,24/7,Kevon Edmonds,24,16,10,12,#
2000-01-19,Show Me The Meaning Of Being Lonely,Backstreet Boys,25,55,25,4,#
2000-01-19,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,26,37,26,7,#
2000-01-19,Big Deal,LeAnn Rimes,27,28,23,15,#
2000-01-19,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,28,24,19,29,https://charts-static.billboard.com/img/1999/05/juvenile-z23-backthatthangup-ydh-180x180.jpg
2000-01-19,Hanginaround,Counting Crows,29,29,29,12,#
2000-01-19,Steal My Sunshine,Len,30,22,9,24,https://charts-static.billboard.com/img/1999/05/len-1n7-stealmysunshine-f8d-180x180.jpg
2000-01-19,Cowboy Take Me Away,Dixie Chicks,31,39,31,9,#
2000-01-19,Rhythm Divine,Enrique Iglesias,32,33,32,8,#
2000-01-19,What Do You Say,Reba,33,43,33,13,#
2000-01-19,Where My Girls At?,702,34,26,4,39,#
2000-01-19,All The Small Things,blink-182,35,50,35,8,https://charts-static.billboard.com/img/1999/08/blink-182-2pa-allthesmallthings-rny-180x180.jpg
2000-01-19,Unpretty,TLC,36,25,1,31,#
2000-01-19,Someday,Sugar Ray,37,27,7,30,#
2000-01-19,My Best Friend,Tim McGraw,38,46,38,9,#
2000-01-19,Black Balloon,Goo Goo Dolls,39,34,16,29,#
2000-01-19,Got To Get It,Sisqo Featuring Make It Hot,40,49,40,10,#
2000-01-19,He Didn't Have To Be,Brad Paisley,41,42,30,14,#
2000-01-19,Mambo No. 5 (A Little Bit Of...),Lou Bega,42,32,3,22,#
2000-01-19,Pop A Top,Alan Jackson,43,52,43,11,#
2000-01-19,Dancin',Guy,44,36,19,6,#
2000-01-19,Got Your Money,Ol' Dirty Bastard Featuring Kelis,45,40,33,14,#
2000-01-19,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,46,35,35,8,https://charts-static.billboard.com/img/1999/10/ice-cube-ze3-youcandoit-azy-180x180.jpg
2000-01-19,Smile,Lonestar,47,65,47,6,#
2000-01-19,None Of Ur Friends Business,Ginuwine,48,63,48,7,#
2000-01-19,When I Said I Do,Clint Black,49,53,31,15,#
2000-01-19,I Wanna Know,Joe,50,69,50,4,#
2000-01-19,If You Love Me,Mint Condition,51,45,30,12,#
2000-01-19,Satisfy You,Puff Daddy Featuring R. Kelly,52,51,2,18,#
2000-01-19,Angels,Robbie Williams,53,54,53,10,https://charts-static.billboard.com/img/1999/10/robbie-williams-m63-angels-vge-180x180.jpg
2000-01-19,Shake Your Bon-Bon,Ricky Martin,54,47,39,10,#
2000-01-19,Back At One,Mark Wills,55,89,55,2,#
2000-01-19,No More Rain (In This Cloud),Angie Stone,56,66,56,5,https://charts-static.billboard.com/img/1999/09/angie-stone-zbz-nomoreraininthiscloud-u61-180x180.jpg
2000-01-19,Love Is Blind,Eve Featuring Faith Evans,57,91,57,3,#
2000-01-19,Sexual (Li Da Di),Amber,58,58,58,24,#
2000-01-19,Caught Out There,Kelis,59,56,54,8,#
2000-01-19,The Great Beyond,R.E.M.,60,62,60,5,#
2000-01-19,Higher,Creed,61,60,52,20,https://charts-static.billboard.com/img/1999/09/creed-l5w-higher-28w-180x180.jpg
2000-01-19,Stay The Night,IMx,62,41,23,16,#
2000-01-19,Deep Inside,Mary J. Blige,63,67,63,11,#
2000-01-19,Falls Apart,Sugar Ray,64,70,64,2,#
2000-01-19,Never Let You Go,Third Eye Blind,65,65,1,-,#
2000-01-19,Auld Lang Syne,Kenny G,66,8,7,5,#
2000-01-19,It Feels So Good,Sonique,67,67,1,-,#
2000-01-19,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,68,95,68,2,#
2000-01-19,4; 5; 6,Sole Featuring JT Money & Kandi,69,48,21,13,https://charts-static.billboard.com/img/1999/09/sole-3xs-106x106.jpg
2000-01-19,Everything You Want,Vertical Horizon,70,70,1,-,#
2000-01-19,Breathe And Stop,Q-Tip,71,71,1,-,#
2000-01-19,One Night Stand,J-Shin Featuring LaTocha Scott,72,74,69,5,#
2000-01-19,All Things Considered,Yankee Grey,73,68,55,19,#
2000-01-19,Live; Laugh; Love,Clay Walker,74,82,74,8,#
2000-01-19,Forgot About Dre,Dr. Dre Featuring Eminem,75,75,1,-,https://charts-static.billboard.com/img/1999/11/dr-dre-gbs-forgotaboutdre-5d2-180x180.jpg
2000-01-19,What's My Name,DMX,76,98,76,2,https://charts-static.billboard.com/img/1999/12/dmx-kb0-whatsmyname-g57-180x180.jpg
2000-01-19,Untitled (How Does It Feel),D'Angelo,77,77,1,-,https://charts-static.billboard.com/img/2000/01/dangelo-5uf-untitledhowdoesitfeel-gd3-180x180.jpg
2000-01-19,Home To You,John Michael Montgomery,78,71,45,17,#
2000-01-19,There She Goes,Sixpence None The Richer,79,72,32,20,#
2000-01-19,Smoke Rings In The Dark,Gary Allan,80,80,1,-,#
2000-01-19,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,81,81,72,8,#
2000-01-19,Bling Bling,B.G. Featuring Baby| Turk| Mannie Fresh| Juvenile & Lil' Wayne,82,59,36,19,#
2000-01-19,The Best Man I Can Be,Ginuwine| R.L.| Tyrese| Case,83,97,83,3,#
2000-01-19,She Thinks My Tractor's Sexy,Kenny Chesney,84,85,74,10,#
2000-01-19,The Chemicals Between Us,Bush,85,75,67,17,#
2000-01-19,N 2 Gether Now,Limp Bizkit Featuring Method Man,86,84,73,8,#
2000-01-19,(You Drive Me) Crazy,Britney Spears,87,73,10,19,https://charts-static.billboard.com/img/1999/09/britney-spears-l78-youdrivemecrazy-1t1-180x180.jpg
2000-01-19,Bug A Boo,Destiny's Child,88,86,33,18,#
2000-01-19,G'd Up,Snoop Dogg Presents Tha Eastsidaz,89,77,77,3,https://charts-static.billboard.com/img/1999/12/tha-eastsidaz-ypt-180x180.jpg
2000-01-19,The Quittin' Kind,Joe Diffie,90,100,90,4,#
2000-01-19,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,91,88,82,7,#
2000-01-19,Don't Say You Love Me,M2M,92,64,21,10,#
2000-01-19,Guerrilla Radio,Rage Against The Machine,93,83,69,13,#
2000-01-19,Larger Than Life,Backstreet Boys,94,87,25,19,#
2000-01-19,The Rockafeller Skank,Fatboy Slim,95,76,76,27,#
2000-01-19,Re-arranged,Limp Bizkit,96,96,90,8,#
2000-01-19,We Can't Be Friends,Deborah Cox With R.L.,97,80,8,20,#
2000-01-19,Music Of My Heart,*NSYNC & Gloria Estefan,98,93,2,20,#
2000-01-19,L.A. Song,Beth Hart,99,90,90,9,#
2000-01-19,Will 2K,Will Smith Featuring K-Ci,100,57,25,13,#
2000-01-26,I Knew I Loved You,Savage Garden,1,2,1,15,#
2000-01-26,What A Girl Wants,Christina Aguilera,2,1,1,10,#
2000-01-26,Smooth,Santana Featuring Rob Thomas,3,3,1,27,#
2000-01-26,Back At One,Brian McKnight,4,4,2,23,https://charts-static.billboard.com/img/1999/08/brian-mcknight-uld-backatone-nl9-180x180.jpg
2000-01-26,Bring It All To Me,Blaque,5,5,5,15,#
2000-01-26,Blue (Da Ba Dee),Eiffel 65,6,9,6,8,https://charts-static.billboard.com/img/1999/12/eiffel-65-zmu-bluedabadee-dn0-180x180.jpg
2000-01-26,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS| EVE & Q-Tip",7,7,5,10,#
2000-01-26,That's The Way It Is,Celine Dion,8,11,8,12,#
2000-01-26,I Need To Know,Marc Anthony,9,6,3,21,#
2000-01-26,My Love Is Your Love,Whitney Houston,10,10,4,22,#
2000-01-26,Then The Morning Comes,Smash Mouth,11,12,11,14,https://charts-static.billboard.com/img/1999/10/smash-mouth-0k0-thenthemorningcomes-949-180x180.jpg
2000-01-26,I Wanna Love You Forever,Jessica Simpson,12,8,3,16,#
