A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del arista/banda,G�nero disco
2006,Album Of The Year,Red Hot Chilli Peppers,Stadium Arcadium,False,H,Rock
2006,Album Of The Year,John Mayer,Continuum,False,H,Rock
2006,Album Of The Year,Gnarls Barkley,St. Elsewhere,False,H,Soul
2005,Album Of The Year,Gwen Stefani,Love. Angel. Music. Baby.,False,M,Pop
2005,Album Of The Year,Paul McCartney,Chaos And Creation In The Backyard,False,H,Rock
2005,Album Of The Year,Mariah Carey,The Emancipation Of Mimi,False,M,R&B
2005,Album Of The Year,U2,How To Dismantle An Atomic Bomb,True,H,Rock
2005,Album Of The Year,Kanye West,Late Registration,False,H,Rap
2004,Album Of The Year,Green Day,American Idiot,False,H,Rock
2004,Album Of The Year,Alicia Keys,The Diary Of Alicia Keys,False,M,R&B
2004,Album Of The Year,Usher,Confessions,False,H,R&B
2004,Album Of The Year,Kanye West,The College Dropout,False,H,Rap
2004,Album Of The Year,Ray Charles,Genius Loves Company,True,H,R&B
2003,Album Of The Year,The White Stripes,Elephant,False,MIXTO,Rock
2003,Album Of The Year,Justin Timberlake,Justified,False,H,Pop
2003,Album Of The Year,Evanescense,Fallen,False,MIXTO,Rock
2003,Album Of The Year,Missy Elliott,Under Construction,False,M,Rap
2003,Album Of The Year,Outkast,Speakerboxxx/The Love Below,True,H,Rap
2002,Album Of The Year,Norah Jones,Come Away With Me,True,M,Jazz
2002,Album Of The Year,Bruce Springsteen,The Rising,False,H,Rock
2002,Album Of The Year,Nelly,Nellyville,False,H,Rap
2002,Album Of The Year,Eminem,The Eminem Show,False,H,Rap
2002,Album Of The Year,Dixie Chicks,Home,False,M,Country
2001,Album Of The Year,Bob Dylan,Love And Theft,False,H,Americana
2001,Album Of The Year,India.Arie,Acoustic Soul,False,M,R&B
2001,Album Of The Year,OutKast,Stankonia,False,H,Rap
2001,Album Of The Year,-,O Brother Where Art Thou? - Soundtrack,True,MIXTO,Banda sonora
2001,Album Of The Year,U2,All That You Can't Leave Behind,False,H,Rock
2000,Album Of The Year,Steely Dan,Two Against Nature,True,H,Rock
2000,Album Of The Year,Beck,Midnite Vultures,False,H,Alternativo
2000,Album Of The Year,Radiohead,Kid A,False,H,Rock
2000,Album Of The Year,Paul Simon,You're The One,False,H,Rock
2000,Album Of The Year,Eminem,The Marshall Mathers LP,False,H,Rap
