A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del artista/banda
2010,Rock Album,Muse,The Resistance,True,H
2009,Best Rock Album,Eric Clapton and Steve Winwood,Live From Madison Square Garden,False,H
2009,Best Rock Album,Dave Matthews Band,Big Whiskey And The Groogrux King,False,H
2009,Best Rock Album,U2,No Line On The Horizon,False,H
2009,Best Rock Album,Green Day,21st Century Breakdown,True,H
2009,Best Rock Album,AC/DC,Black Ice,False,H
2008,Best Rock Album,The Raconteurs,Consolers Of The Lonely,False,H
2008,Best Rock Album,Coldplay,Viva La Vida Or Death And All His Friends,True,H
2008,Best Rock Album,Kid Rock,Rock N Roll Jesus,False,H
2008,Best Rock Album,Kings of Leon,Only By The Night,False,H
2008,Best Rock Album,Metallica,Death Magnetic,False,H
2007,Best Rock Album,Daughtry,Daughtry,False,H
2007,Best Rock Album,John Fogerty,Revival,False,H
2007,Best Rock Album,Bruce Springsteen,Magic,False,H
2007,Best Rock Album,Wilco,Sky Blue Sky,False,H
2007,Best Rock Album,Foo Fighters,Echoes, Silence, Patience & Grace,True,H
2006,Best Rock Album,Red Hot Chili Peppers,Stadium Arcadium,True,H
2006,Best Rock Album,Neil Young,Living With War,False,H
2006,Best Rock Album,The Raconteurs,Broken Boy Soldiers,False,H
2006,Best Rock Album,Tom Petty,Highway Companion,False,H
2006,Best Rock Album,John Mayer Trio,Try!,False,H
2005,Best Rock Album,The Rolling Stones,A Bigger Bang,False,H
2005,Best Rock Album,Foo Fighters,In Your Honor,False,H
2005,Best Rock Album,U2,How To Dismantle An Atomic Bomb,True,H
2005,Best Rock Album,Neil Young,Prairie Wind,False,H
2005,Best Rock Album,Coldplay,X&Y,False,H
2004,Best Rock Album,Green Day,American Idiot,True,H
2004,Best Rock Album,The Killers,Hot Fuss,False,H
2004,Best Rock Album,Velvet Revolver,Contraband,False,H
2004,Best Rock Album,Elvis Costello & The Imposters,The Delivery Man,False,H
2004,Best Rock Album,Hoobastank,The Reason,False,H
2003,Best Rock Album,Foo Fighters,One By One,True,H
2003,Best Rock Album,Nickelback,The Long Road,False,H
2003,Best Rock Album,Matchbox Twenty,More Than You Think You Are,False,H
2003,Best Rock Album,Evanescence,Fallen,False,MIXTO
2003,Best Rock Album,Audioslave,Audioslave,False,H
2002,Best Rock Album,Bruce Springsteen,The Rising,True,H
2002,Best Rock Album,Sheryl Crow,C'mon, C'mon,False,M
2002,Best Rock Album,Elvis Costello,When I Was Cruel,False,H
2002,Best Rock Album,Tonic,Head On Straight,False,H
2002,Best Rock Album,Robert Plant,Dreamland,False,H
2001,Best Rock Album,Linking Park,Hybrid Theory,False,H
2001,Best Rock Album,PJ Harvey,Stories From The City, Stories From The Sea,False,M
2001,Best Rock Album,Aerosmith,Just Push Play,False,H
2001,Best Rock Album,Ryan Adams,Gold,False,H
2001,Best Rock Album,U2,All That You Can't Leave Behind,True,H
2000,Best Rock Album,Foo Fighters,There Is Nothing Left To Lose,True,H
2000,Best Rock Album,Matchbox Twenty,Mad Season,False,H
2000,Best Rock Album,Bon Jovi,Crush,False,H
2000,Best Rock Album,Rage Against the Machine,The Battle Of Los Angeles,False,H
2000,Best Rock Album,No Doubt,Return Of Saturn,False,MIXTO
