A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del artista/banda
2009,Best Pop Vocal Album,The Fray,The Fray,False,H
2009,Best Pop Vocal Album,P!nk,Funhouse,False,M
2009,Best Pop Vocal Album,Black Eyed Peas,The E.N.D.,True,MIXTO
2008,Best Pop Vocal Album,Eagles,Long Road Out Of Eden,False,H
2008,Best Pop Vocal Album,Leona Lewis,Spirit,False,M
2008,Best Pop Vocal Album,James Taylor,Covers,False,H
2008,Best Pop Vocal Album,Duffy,Rockferry,True,M
2008,Best Pop Vocal Album,Sheryl Crow,Detours,False,M
2007,Best Pop Vocal Album,Bon Jovi,Lost Highway,False,H
2007,Best Pop Vocal Album,Paul McCartney,Memory Almost Full,False,H
2007,Best Pop Vocal Album,Amy Winehouse,Back To Black,True,M
2007,Best Pop Vocal Album,Feist,The Reminder,False,M
2007,Best Pop Vocal Album,Maroon 5,It Won't Be Soon Before Long,False,H
2006,Best Pop Vocal Album,James Blunt,Back To Bedlam,False,H
2006,Best Pop Vocal Album,Christina Aguilera,Back To Basics,False,M
2006,Best Pop Vocal Album,John Mayer,Continuum,True,H
2006,Best Pop Vocal Album,Justin Timberlake,FutureSex/LoveSounds,False,H
2006,Best Pop Vocal Album,Elvis Costello and Allen Toussaint,The River In Reverse,False,H
2005,Best Pop Vocal Album,Gwen Stefani,Love. Angel. Music. Baby.,False,M
2005,Best Pop Vocal Album,Paul McCartney,Chaos And Creation In The Backyard,False,H
2005,Best Pop Vocal Album,Sheryl Crow,Wildflower,False,M
2005,Best Pop Vocal Album,Fiona Apple,Extraordinary Machine,False,M
2005,Best Pop Vocal Album,Kelly Clarkson,Breakaway,True,M
2004,Best Pop Vocal Album,Joss Stone,Mind Body & Soul,False,M
2004,Best Pop Vocal Album,Brian Wilson,Brian Wilson Presents Smile,False,H
2004,Best Pop Vocal Album,Ray Charles,Genius Loves Company,True,H
2004,Best Pop Vocal Album,Norah Jones,Feels Like Home,False,M
2004,Best Pop Vocal Album,Sarah McLachlan,Afterglow,False,M
2003,Best Pop Vocal Album,Justin Timberlake,Justified,True,H
2003,Best Pop Vocal Album,Annie Lennox,Bare,False,M
2003,Best Pop Vocal Album,George Harrison,Brainwashed,False,H
2003,Best Pop Vocal Album,Christina Aguilera,Stripped,False,M
2003,Best Pop Vocal Album,Michael McDonald,Motown,False,H
2002,Best Pop Vocal Album,Norah Jones,Come Away With Me,True,M
2002,Best Pop Vocal Album,Britney Spears,Britney,False,M
2002,Best Pop Vocal Album,P!nk,Missundaztood,False,M
2002,Best Pop Vocal Album,No Doubt,Rock Steady,False,MIXTO
2002,Best Pop Vocal Album,Avril Lavigne,Let Go,False,M
2001,Best Pop Vocal Album,Sade,Lovers Rock,True,M
2001,Best Pop Vocal Album,NSYNC,Celebrity,False,H
2001,Best Pop Vocal Album,Elton John,Songs From The West Coast,False,H
2001,Best Pop Vocal Album,Janet Jackson,All For You,False,M
2001,Best Pop Vocal Album,Nelly Furtado,Whoa, Nelly!,False,M
2000,Best Pop Vocal Album,Steely Dan,Two Against Nature,True,H
2000,Best Pop Vocal Album,Britney Spears,Oops!...I Did It Again,False,M
2000,Best Pop Vocal Album,NSYNC,No Strings Attached,False,H
2000,Best Pop Vocal Album,Madonna,Music,False,M
2000,Best Pop Vocal Album,Don Henley,Inside Job,False,H
