A�o,Categor�a,Artista,Ganador,G�nero del artista/banda
2010,Best New Artist,Justin Bieber,False,H
2010,Best New Artist,Drake,False,H
2010,Best New Artist,Esperanza Spalding,True,M
2009,Best New Artist,Keri Hilson,False,M
2009,Best New Artist,MGMT,False,H
2009,Best New Artist,Silversun Pickups,False,MIXTO
2009,Best New Artist,The Ting Tings,False,MIXTO
2009,Best New Artist,Zac Brown Band,True,H
2008,Best New Artist,Duffy,False,M
2008,Best New Artist,Jonas Brothers,False,H
2008,Best New Artist,Lady Antebellum,False,MIXTO
2008,Best New Artist,Adele,True,M
2008,Best New Artist,Jazmine Sullivan,False,M
2007,Best New Artist,Feist,False,M
2007,Best New Artist,Ledisi,False,M
2007,Best New Artist,Paramore,False,MIXTO
2007,Best New Artist,Taylor Swift,False,M
2007,Best New Artist,Amy Winehouse,True,M
2006,Best New Artist,James Blunt,False,H
2006,Best New Artist,Carrie Underwood,True,M
2006,Best New Artist,Corinne Bailey Rae,False,M
2006,Best New Artist,Imogen Heap,False,M
2006,Best New Artist,Chris Brown,False,H
2005,Best New Artist,Ciara,False,M
2005,Best New Artist,SugarLand,False,MIXTO
2005,Best New Artist,Keane,False,H
2005,Best New Artist,Fall Out Boy,False,H
2005,Best New Artist,John Legend,True,H
2004,Best New Artist,Los Lonely Boys,False,H
2004,Best New Artist,Joss Stone,False,M
2004,Best New Artist,Kanye West,False,H
2004,Best New Artist,Gretchen Wilson,False,M
2004,Best New Artist,Maroon 5,True,H
2003,Best New Artist,Heather Headley,False,M
2003,Best New Artist,Evanescence,True,MIXTO
2003,Best New Artist,Sean Paul,False,H
2003,Best New Artist,Fountains Of Wayne,False,H
2003,Best New Artist,50 Cent,False,H
2002,Best New Artist,Norah Jones,True,M
2002,Best New Artist,John Mayer,False,H
2002,Best New Artist,Michelle Branch,False,M
2002,Best New Artist,Ashanti,False,M
2002,Best New Artist,Avril Lavigne,False,M
2001,Best New Artist,Alicia Keys,True,M
2001,Best New Artist,Linkin Park,False,H
2001,Best New Artist,David Gray,False,H
2001,Best New Artist,Nelly Furtado,False,M
2001,Best New Artist,India.Arie,False,M
2000,Best New Artist,Shelby Lynne,True,M
2000,Best New Artist,Jill Scott,False,M
2000,Best New Artist,Brad Paisley,False,H
2000,Best New Artist,Papa Roach,False,H
2000,Best New Artist,Sisqo,False,H
