Año;Categoría;Artista;Disco o canción;Ganador;Género del artista/banda
2016;Best Rap Album;Kanye West;The Life Of Pablo;False;H
2015;Best Rap Album;J. Cole;2014 Forest Hills Drive;False;H
2015;Best Rap Album;Dr. Dre;Compton;False;H
2015;Best Rap Album;Drake;If Youre Reading This Its Too Late;False;H
2015;Best Rap Album;Nicki Minaj;The Pinkprint;False;M
2015;Best Rap Album;Kendrick Lamar;To Pimp A Butterfly;True;H
2014;Best Rap Album;Iggy Azalea;The New Classic;False;M
2014;Best Rap Album;Childish Gambino;Because The Internet;False;H
2014;Best Rap Album;Common;Nobody's Smiling;False;H
2014;Best Rap Album;ScHoolboy Q;Oxymoron;False;H
2014;Best Rap Album;Wiz Khalifa;Blacc Hollywood;False;H
2014;Best Rap Album;Eminem;The Marshall Mathers LP2;True;H
2013;Best Rap Album;Macklemore & Ryan Lewis;The Heist;True;H
2013;Best Rap Album;Kanye West;Yeezus;False;H
2013;Best Rap Album;Kendrick Lamar;Good Kid, M.A.A.D City;False;H
2013;Best Rap Album;Jay-Z;Magna Carta...Holy Grail;False;H
2013;Best Rap Album;Drake;Nothing Was The Same;False;H
2012;Best Rap Album;Rick Ross;God Forgives, I Don't;False;H
2012;Best Rap Album;2 Chainz;Based On A T.R.U. Story;False;H
2012;Best Rap Album;Drake;Take Care;True;H
2012;Best Rap Album;The Roots;Undun;False;H
2012;Best Rap Album;Lupe Fiasco;Food & Liquor II: The Great American Rap Album, Pt. 1;False;H
2012;Best Rap Album;Nas;Life Is Good;False;H
2011;Rap Album;Jay-Z & Kanye West;Watch The Throne;False;H
2011;Rap Album;Lil Wayne;Tha Carter IV;False;H
2011;Rap Album;Lupe Fiasco;Lasers;False;H
2011;Rap Album;Nicki Minaj;Pink Friday;False;M
2011;Rap Album;Kanye West;My Beautiful Dark Twisted Fantasy;True;H
2010;Rap Album;B.o.B.;The Adventures Of Bobby Ray;False;H
2010;Rap Album;Jay-Z;The Blueprint 3;False;H
2010;Rap Album;The Roots;How I Got Over;False;H
2010;Rap Album;Eminem;Recovery;True;H
2010;Rap Album;Drake;Thank Me Later;False;H
2009;Best Rap Album;Common;Universal Mind Control;False;H
2009;Best Rap Album;Flo Rida;R.O.O.T.S.;False;H
2009;Best Rap Album;Mos Def;The Ecstatic;False;H
2009;Best Rap Album;Q-Tip;The Renaissance;False;H
2009;Best Rap Album;Eminem;Relapse;True;H
2008;Best Rap Album;Jay-Z;American Gangster;False;H
2008;Best Rap Album;Lupe Fiasco;The Cool;False;H
2008;Best Rap Album;Nas;Untitled;False;H
2008;Best Rap Album;T.I.;Paper Trail;False;H
2008;Best Rap Album;Lil Wayne;Tha Carter III;True;H
2007;Best Rap Album;Common;Finding Forever;False;H
2007;Best Rap Album;Jay-Z;Kingdom Come;False;H
2007;Best Rap Album;Nas;Hip Hop Is Dead;False;H
2007;Best Rap Album;T.I.;T.I. vs T.I.P.;False;H
2007;Best Rap Album;Kanye West;Graduation;True;H
2006;Best Rap Album;Ludacris;Release Therapy;True;H
2006;Best Rap Album;Pharrell;In My Mind;False;H
2006;Best Rap Album;Lupe Fiasco;Lupe Fiasco's Food & Liquor;False;H
2006;Best Rap Album;T.I.;King;False;H
2006;Best Rap Album;The Roots;Game Theory;False;H
2005;Best Rap Album;Kanye West;Late Registration;True;H
2005;Best Rap Album;50 Cent;The Massacre;False;H
2005;Best Rap Album;Eminem;Encore;False;H
2005;Best Rap Album;Missy Elliot;The Cookbook;False;M
2005;Best Rap Album;Common;Be;False;H
2004;Best Rap Album;Beastie Boys;To The 5 Boroughs;False;H
2004;Best Rap Album;LL Cool J;The Definition;False;H
2004;Best Rap Album;Nelly;Suit;False;H
2004;Best Rap Album;Jay-Z;The Black Album;False;H
2004;Best Rap Album;Kanye West;The College Dropout;True;H
2003;Best Rap Album;The Roots;Phrenology;False;H
2003;Best Rap Album;Jay-Z;The Blueprint² - The Gift & The Curse;False;H
2003;Best Rap Album;Missy Elliot;Under Construction;False;M
2003;Best Rap Album;Outkast;Speakerboxxx/The Love Below;True;H
2003;Best Rap Album;50 Cent;Get Rich Or Die Tryin';False;H
2002;Best Rap Album;Eminem;The Eminem Show;True;H
2002;Best Rap Album;Petey Pablo;Diary Of A Sinner: 1st Entry;False;H
2002;Best Rap Album;Nelly;Nellyville;False;H
2002;Best Rap Album;Mystikal;Tarantula;False;H
2002;Best Rap Album;Ludacris;Word Of Mouf;False;H
2001;Best Rap Album;Jay-Z;The Blueprint;False;H
2001;Best Rap Album;Ja Rule;Pain Is Love;False;H
2001;Best Rap Album;Outkast;Stankonia;True;H
2001;Best Rap Album;Ludacris;Back For The First Time;False;H
2001;Best Rap Album;Eve;Scorpion;False;M
2000;Best Rap Album;Eminem;The Marshall Mathers LP;True;H
2000;Best Rap Album;Jay-Z;Vol. 3...Life And Times Of S. Carter;False;H
2000;Best Rap Album;Dr. Dre;2001;False;H
2000;Best Rap Album;Nelly;Country Grammar;False;H
2000;Best Rap Album;DMX;...And Then There Was X;False;H
