A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del artista/banda,G�nero canci�n
2015,Record Of The Year,The Weeknd,Can't Feel My Face,False,H,Pop
2015,Record Of The Year,Mark Ronson Featuring Bruno Mars,Uptown Funk,True,H,Pop
2015,Record Of The Year,D'Angelo And The Vanguard,Really Love,False,H,Soul
2015,Record Of The Year,Ed Sheeran,Thinking Out Loud,False,H,Pop
2015,Record Of The Year,Taylor Swift,Blank Space,False,M,Pop
2014,Record Of The Year,Iggy Azalea Featuring Charli XCX,Fancy,False,M,Rap Pop
2014,Record Of The Year,Sia,Chandelier,False,M,Pop
2014,Record Of The Year,Taylor Swift,Shake It Off,False,M,Pop
2014,Record Of The Year,Meghan Trainor,All About That Bass,False,M,Pop
2014,Record Of The Year,Sam Smith,Stay With Me (Darkchild Version),True,H,Pop
2013,Record Of The Year,Daft Punk Featuring Pharrell Williams & Nile Rodgers,Get Lucky,True,H,Disco
2013,Record Of The Year,Robin Thicke Featuring T.I. & Pharrell,Blurred Lines,False,H,R&B
2013,Record Of The Year,Bruno Mars,Locked Out Of Heaven,False,H,Pop
2013,Record Of The Year,Lorde,Royals,False,M,Alternativo
2013,Record Of The Year,Imagine Dragons,Radioactive,False,H,Rock
2012,Record Of The Year,Gotye,Somebody That I Used To Know,True,MIXTO,Alternativo
2012,Record Of The Year,Taylor Swift,We Are Never Ever Getting Back Together,False,M,Pop
2012,Record Of The Year,The Black Keys,Lonely Boy,False,H,Rock
2012,Record Of The Year,Kelly Clarkson,Stronger (What Doesn't Kill You),False,M,Pop
2012,Record Of The Year,Fun.,We Are Young,False,H,Pop
2012,Record Of The Year,Frank Ocean,Thinkin Bout You,False,H,R&B
2011,Record Of The Year,Bon Iver,Holocene,False,H,Folk
2011,Record Of The Year,Bruno Mars,Grenade,False,H,Pop
2011,Record Of The Year,Mumford & Sons,The Cave,False,H,Folk
2011,Record Of The Year,Katy Perry,Firework,False,M,Pop
2011,Record Of The Year,Adele,Rolling In The Deep,True,M,Pop
2010,Record Of The Year,B.o.B Featuring Bruno Mars,Nothin' On You,False,H,Rap
2010,Record Of The Year,Eminem featuring Rihanna,Love The Way You Lie,False,MIXTO,Rap
2010,Record Of The Year,CeeLo Green,Fuck You,False,H,Pop
2010,Record Of The Year,Jay - Z featuring Alicia Keys,Empire State Of Mind,False,MIXTO,Rap
2010,Record Of The Year,Lady A,Need You Now,True,MIXTO,Country
2009,Record Of The Year,Taylor Swift,You Belong With Me,False,MIXTO,Country Pop
2009,Record Of The Year,Lady Gaga,Poker Face,False,M,Pop
2009,Record Of The Year,Black Eyed Peas,I Gotta Feeling,False,MIXTO,Pop
2009,Record Of The Year,Beyonc�,Halo,False,M,Pop
2009,Record Of The Year,Kings Of Leon,Use Somebody,True,H,Rock
2008,Record Of The Year,Adele,Chasing Pavements,False,M,Pop
2008,Record Of The Year,Coldplay,Viva La Vida,False,H,Pop Rock
2008,Record Of The Year,Leona Lewis,Bleeding Love,False,M,Pop
2008,Record Of The Year,M.I.A,Paper Planes,False,M,Rap
2008,Record Of The Year,Alison Krauss & Robert Plant,Please Read The Letter,True,MIXTO,Rock
2007,Record Of The Year,Justin Timberlake,What Goes Around�Comes Around,False,H,Pop
2007,Record Of The Year,Beyonc�,Irreplaceable,False,M,Pop
2007,Record Of The Year,Foo Fighters,The Pretender,False,H,Rock
2007,Record Of The Year,Rihanna,Umbrella,False,M,Pop
2007,Record Of The Year,Amy Winehouse,Rehab,True,M,R&B
2006,Record Of The Year,Mary J. Blige,Be Without You,False,M,R&B
2006,Record Of The Year,Dixie Chicks,Not Ready To Make Nice,True,M,Country
2006,Record Of The Year,Corinne Bailey Rae,Put Your Records On,False,M,R&B
2006,Record Of The Year,Gnarls Barkley,Crazy,False,H,R&B
2006,Record Of The Year,James Blunt,You're Beautiful,False,H,Rock
2005,Record Of The Year,Green Day,Boulevard Of Broken Dreams,True,H,Rock
2005,Record Of The Year,Kanye West,Gold Digger,False,H,Rap
2005,Record Of The Year,Gwen Stefani,Hollaback Girl,False,M,Pop
2005,Record Of The Year,Gorillaz,Feel Good Inc.,False,H,Rock
2005,Record Of The Year,Mariah Carey,We Belong Together,False,M,R&B
2004,Record Of The Year,The Black Eyed Peas,Let's Get It Started,False,MIXTO,Pop
2004,Record Of The Year,Green Day,American Idiot,False,H,Rock
2004,Record Of The Year,Los Lonely Boys,Heaven,False,H,Rock
2004,Record Of The Year,Usher Featuring Lil Jon & Ludacris,Yeah!,False,H,R&B
2004,Record Of The Year,Ray Charles & Norah Jones,Here We Go Again,True,MIXTO,R&B
2003,Record Of The Year,Coldplay,Clocks,True,H,Pop Rock
2003,Record Of The Year,Outkast,Hey Ya!,False,H,Pop
2003,Record Of The Year,Eminem,Lose Yourself,False,H,Rap
2003,Record Of The Year,The Black Eyed Peas featuring Justin Timberlake,Where Is The Love,False,MIXTO,Pop
2003,Record Of The Year,Beyonc�,Crazy In Love,False,M,Pop
2002,Record Of The Year,Eminem,Without Me,False,H,Rap
2002,Record Of The Year,Vanessa Carlton,A Thousand Miles,False,M,Pop
2002,Record Of The Year,Norah Jones,Don't Know Why,True,M,Jazz Pop
2002,Record Of The Year,Nickelback,How You Remind Me,False,H,Rock
2002,Record Of The Year,Nelly Featuring Kelly Rowland,Dilemma,False,MIXTO,R&B
2001,Record Of The Year,Outkast,Ms. Jackson,False,H,R&B
2001,Record Of The Year,Alicia Keys,Fallin',False,M,R&B
2001,Record Of The Year,U2,Walk On,True,H,Rock
2001,Record Of The Year,Train,Drops Of Jupiter,False,H,Rock
2001,Record Of The Year,India.Arie,Video,False,M,R&B
2000,Record Of The Year,*NSYNC,Bye Bye Bye,False,H,Pop
2000,Record Of The Year,Macy Gray,I Try,False,M,R&B
2000,Record Of The Year,U2,Beautiful Day,True,H,Rock
2000,Record Of The Year,Destiny's Child,Say My Name,False,M,R&B
2000,Record Of The Year,Madonna,Music,False,M,Pop
