A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del artista/banda,G�nero canci�n
2012,Song Of The Year,Kelly Clarkson,Stronger (What Doesn't Kill You),False,M,Pop
2012,Song Of The Year,Carly Rae Jepsen,Call Me Maybe,False,M,Pop
2011,Song Of The Year,Mumford & Sons,The Cave,False,H,Folk
2011,Song Of The Year,Bruno Mars,Grenade,False,H,Pop
2011,Song Of The Year,Bon Iver,Holocene,False,H,Folk
2011,Song Of The Year,Adele,Rolling In The Deep,True,M,Pop
2011,Song Of The Year,Kanye West featuring Rihanna Kid Cudi & Fergie,All Of The Lights,False,MIXTO,Rap
2010,Song Of The Year,Lady A,Need You Now,True,MIXTO,Country
2010,Song Of The Year,Eminem featuring Rihanna,Love The Way You Lie,False,MIXTO,Rap
2010,Song Of The Year,Ray LaMontagne and The Pariah Dogs,Beg Steal Or Borrow,False,H,Folk
2010,Song Of The Year,Cee Lo Green,Fuck You,False,H,Pop
2010,Song Of The Year,Miranda Lambert,The House That Built Me,False,M,Country
2009,Song Of The Year,Taylor Swift,You Belong With Me,False,M,Country Pop
2009,Song Of The Year,Beyonc�,Single Ladies (Put A Ring On It),True,M,Pop
2009,Song Of The Year,Maxwell,Pretty Wings,False,H,R&B
2009,Song Of The Year,Kings of Leon,Use Somebody,False,H,Rock
2009,Song Of The Year,Lady Gaga,Poker Face,False,M,Pop
2008,Song Of The Year,Adele,Chasing Pavements,False,M,Pop
2008,Song Of The Year,Jason Mraz,I'm Yours,False,H,Pop
2008,Song Of The Year,Sara Bareilles,Love Song,False,M,Pop
2008,Song Of The Year,Coldplay,Viva La Vida,True,H,Pop Rock
2008,Song Of The Year,Estelle featuring Kanye West,American Boy,False,MIXTO,R&B
2007,Song Of The Year,Carrie Underwood,Before He Cheats,False,M,Country
2007,Song Of The Year,Plain White T's,Hey There Delilah,False,H,Pop
2007,Song Of The Year,Corinne Bailey Rae,Like A Star,False,M,Pop
2007,Song Of The Year,Rihanna,Umbrella,False,M,Pop
2007,Song Of The Year,Amy Winehouse,Rehab,True,M,R&B
2006,Song Of The Year,Dixie Chicks,Not Ready To Make Nice,True,M,Country
2006,Song Of The Year,Carrie Underwood,Jesus, Take The Wheel,False,M,Country
2006,Song Of The Year,Mary J. Blige,Be Without You,False,M,R&B
2006,Song Of The Year,James Blunt,You're Beautiful,False,H,Rock
2006,Song Of The Year,Corinne Bailey Rae,Put Your Records On,False,M,R&B
2005,Song Of The Year,John Legend,Ordinary People,False,H,R&B
2005,Song Of The Year,Bruce Springsteen,Devils & Dust,False,H,Rock
2005,Song Of The Year,Rascal Flatts,Bless The Broken Road,False,H,Country
2005,Song Of The Year,U2,Sometimes You Can't Make It On Your Own,True,H,Rock
2005,Song Of The Year,Mariah Carey,We Belong Together,False,M,R&B
2004,Song Of The Year,Hoobastank,The Reason,False,H,Rock
2004,Song Of The Year,Kanye West,Jesus Walks,False,H,Rap
2004,Song Of The Year,John Mayer,Daughters,True,H,Rock
2004,Song Of The Year,Alicia Keys,If I Ain't Got You,False,M,R&B
2004,Song Of The Year,Tim McGraw,Live Like You Were Dying,False,H,Country
2003,Song Of The Year,Luther Vandross,Dance With My Father,True,H,R&B
2003,Song Of The Year,Eminem,Lose Yourself,False,H,Rap
2003,Song Of The Year,Warren Zevon,Keep Me In Your Heart,False,H,Rock
2003,Song Of The Year,Avril Lavigne,I'm With You,False,M,Pop
2003,Song Of The Year,Christina Aguilera,Beautiful,False,M,Pop
2002,Song Of The Year,Alan Jackson,Where Were You (When The World Stopped Turning),False,H,Country
2002,Song Of The Year,Vanessa Carlton,A Thousand Miles,False,M,Pop
2002,Song Of The Year,Bruce Springsteen,The Rising,False,H,Rock
2002,Song Of The Year,Avril Lavigne,Complicated,False,M,Pop Rock
2002,Song Of The Year,Norah Jones,Don't Know Why,True,M,Jazz Pop
2001,Song Of The Year,Alicia Keys,Fallin',True,M,R&B
2001,Song Of The Year,India.Arie,Video,False,M,R&B
2001,Song Of The Year,U2,Stuck In A Moment You Can't Get Out Of,False,H,Rock
2001,Song Of The Year,Nelly Furtado,I'm Like A Bird,False,M,Folk Pop
2001,Song Of The Year,Train,Drops Of Jupiter,False,H,Rock
2000,Song Of The Year,U2,Beautiful Day,True,H,Rock
2000,Song Of The Year,Destiny's Child,Say My Name,False,M,R&B
2000,Song Of The Year,Macy Gray,I Try,False,M,R&B
2000,Song Of The Year,Lee Ann Womack,I Hope You Dance,False,M,Country Pop
2000,Song Of The Year,Faith Hill,Breathe,False,M,Country Pop
